ticker,company,date,accession,text_length
AAPL,Apple Inc,2026-04-30,0000320193-26-000011,10787
MSFT,Microsoft Corporation,2026-04-29,0001193125-26-191457,19717
JPM,JPMorgan Chase,2026-04-14,0001628280-26-024990,22462
JNJ,Johnson & Johnson,2026-04-14,0000200406-26-000076,16056
AMZN,Amazon,2026-04-29,0001018724-26-000012,36092
GOOGL,Alphabet,2026-04-29,0001652044-26-000043,22168
BAC,Bank of America,2026-04-15,0000070858-26-000222,60607
PFE,Pfizer,2026-05-05,0000078003-26-000053,69755
V,Visa,2026-04-28,0001403161-26-000077,29418
UNH,UnitedHealth Group,2026-04-21,0000731766-26-000121,45338
GS,Goldman Sachs,2026-04-13,0000886982-26-000096,24302
MS,Morgan Stanley,2026-04-15,0000895421-26-000111,56411
WFC,Wells Fargo,2026-04-14,0000072971-26-000213,31483
META,Meta Platforms,2026-04-29,0001628280-26-028364,17556
NVDA,Nvidia,2026-05-20,0001045810-26-000051,20790
TSLA,Tesla,2026-04-22,0001628280-26-026551,40106
CVS,CVS Health,2026-05-06,0000064803-26-000051,39476
ABT,Abbott Laboratories,2026-04-16,0001628280-26-025365,22800
WMT,Walmart,2026-05-21,0000104169-26-000095,55147
KO,Coca Cola,2026-04-28,0001628280-26-027723,57521
