ticker,positive,negative,neutral,label,chunks
TSLA,0.2888,0.0545,0.6567,Neutral,13
JNJ,0.3478,0.0724,0.5798,Neutral,5
V,0.2413,0.0895,0.6692,Neutral,9
KO,0.1919,0.2112,0.5969,Neutral,18
BAC,0.3697,0.0937,0.5366,Neutral,18
AMZN,0.2488,0.1129,0.6383,Neutral,12
MS,0.0297,0.0532,0.9171,Neutral,18
CVS,0.1954,0.1408,0.6639,Neutral,12
GS,0.2081,0.3171,0.4748,Neutral,8
UNH,0.2499,0.2234,0.5267,Neutral,10
GOOGL,0.24,0.1611,0.5988,Neutral,7
META,0.1737,0.0633,0.763,Neutral,6
JPM,0.3901,0.1434,0.4666,Neutral,8
MSFT,0.1727,0.2277,0.5996,Neutral,6
ABT,0.1526,0.166,0.6815,Neutral,7
WFC,0.3836,0.1378,0.4786,Neutral,10
WMT,0.2623,0.0866,0.651,Neutral,18
NVDA,0.3056,0.1756,0.5188,Neutral,7
AAPL,0.2519,0.0387,0.7094,Neutral,4
PFE,0.1927,0.1923,0.615,Neutral,21
